,Reviewer Name,Review Rate,Review Time,Review Comment
1514,Thien An Bui Nguyen,5 sao,4 năm trước,Tốt
1515,Phuong Nguyen,5 sao,4 năm trước,Tốt
1516,Jacky Fan,5 sao,6 tháng trước,cà phê cao nguy …
1517,Nhu Thuy,4 sao,10 tháng trước,N/A
1518,trí thức phạm,5 sao,2 năm trước,Đư …
1519,pham quoc tuan,4 sao,11 tháng trước,N/A
1520,Đức Anh Mai,4 sao,10 tháng trước,N/A
1521,Thanh Nguyen,4 sao,4 năm trước,ĐƯ …
1522,Bao Chau,5 sao,4 năm trước,Địa điểm đẹp …
1523,nguyễn tuấn kiệt (Vgame Java),4 sao,11 tháng trước,N/A
1524,hoàng lê,4 sao,11 tháng trước,N/A
1525,quocviet nguyen,3 sao,4 năm trước,ĐƯ …
1526,Cuong Pham,5 sao,11 tháng trước,N/A
1527,kim thanh Ngo,5 sao,một năm trước,N/A
1528,Anhtuan Bui,4 sao,một năm trước,N/A
1529,Giang Nguyen,4 sao,một năm trước,N/A
1530,Khả Trân Trần,5 sao,một năm trước,N/A
1531,Hiếu Minh,5 sao,một năm trước,N/A
1532,Huyen Hoang,5 sao,một năm trước,N/A
1533,Khiem Pham,5 sao,một năm trước,N/A
1534,T. Long,5 sao,một năm trước,N/A
1535,Trọng Hiếu Đinh,5 sao,một năm trước,N/A
1536,Ni Pham,5 sao,một năm trước,N/A
1537,HLV dinh dưỡng Quang Dự,4 sao,một năm trước,N/A
1538,Đình Đình Mai,4 sao,một năm trước,N/A
1539,Son Nguyen Hoang,4 sao,một năm trước,N/A
1540,Tư Lầu,5 sao,một năm trước,N/A
1541,Thienỵl Nguyen,5 sao,một năm trước,N/A
1542,Nguyễn Vũ Huy Khang,4 sao,một năm trước,N/A
1543,Daniel Phuc Nguyen,5 sao,một năm trước,N/A
1544,Duy Le,4 sao,5 năm trước,cao nguyê …
1545,Vo Huy,4 sao,3 năm trước,đồ uống ngon
1546,한성주,1 sao,3 năm trước,Americano tệ nh …
1547,Thủy Trúc Nguyễn,4 sao,2 năm trước,N/A
1548,Phillips Nguyễn,5 sao,2 năm trước,N/A
1549,Khoailangnong Nguyen,4 sao,3 năm trước,N/A
1550,Giahan29 To,4 sao,2 năm trước,N/A
1551,Gia Hân Trần,1 sao,3 tháng trước,N/A
1552,Khánh An,1 sao,3 năm trước,N/A
1553,Đức Hòa Nguyễn,5 sao,3 năm trước,N/A
1554,Hanks Nguyen,4 sao,3 năm trước,N/A
1555,Huu Truc,4 sao,3 năm trước,N/A
1556,Trần Vy,5 sao,3 năm trước,N/A
1557,Luu Trinh Nguyen,3 sao,một tháng trước,N/A
1558,Hoàng Ân Nguyễn,5 sao,3 năm trước,N/A
1559,duy bui,5 sao,3 năm trước,N/A
1560,Fan Acoustic,5 sao,một năm trước,N/A
1561,Nguyễn Thu Thảo,5 sao,một năm trước,N/A
1562,Phuocthinh Ho,5 sao,2 năm trước,N/A
1563,Sy Dang,3 sao,2 năm trước,N/A
1564,Thanh Vũ Thị,4 sao,một năm trước,N/A
1565,Thanh Tân Nguyễn,5 sao,3 năm trước,N/A
1566,Bình Hồ Trọng,5 sao,3 tháng trước,N/A
1567,Huyền Nguyễn Nghiêm Lệ,5 sao,2 năm trước,N/A
1568,Quốc Toàn Đặng,5 sao,2 năm trước,N/A
1569,Ninh Phuong,5 sao,3 năm trước,N/A
1570,Trường Long,5 sao,3 năm trước,N/A
1571,Hữu Nam Đặng,4 sao,một năm trước,N/A
1572,Mai Phuc,5 sao,3 năm trước,N/A
1573,Ngo Doanh,1 sao,2 năm trước,N/A
1574,Nguyễn Quang Tiến,1 sao,2 năm trước,N/A
1575,tu tu,4 sao,3 năm trước,N/A
1576,Thủy Tiên Nguyễn Hoàng,4 sao,2 năm trước,N/A
1577,Thuy Thanh Nguyen,4 sao,3 năm trước,N/A
1578,Quan Le,1 sao,một tháng trước,N/A
1579,Derek Thai,3 sao,3 năm trước,N/A
1580,Trâm Nguyen,4 sao,2 năm trước,N/A
1581,Hân Nguyễn,5 sao,2 năm trước,N/A
1582,NPD -Thang,5 sao,4 năm trước,N/A
1583,Nguyễn Quốc Triều,5 sao,một năm trước,N/A
1584,La Đức,4 sao,4 năm trước,N/A
1585,Trịnh Thị Thùy Linh,5 sao,3 năm trước,N/A
1586,Phương Đỗ,3 sao,2 năm trước,N/A
1587,Thanh Trúc,4 sao,3 năm trước,N/A
1588,An Khuong Pham,4 sao,3 năm trước,N/A
1589,Soshi Thoa,5 sao,2 tháng trước,N/A
1590,tuan tran,5 sao,2 tuần trước,N/A
1591,Tai Truong,3 sao,một năm trước,N/A
1592,Mikey Ramone,5 sao,5 tháng trước,N/A
1593,Lam Thai Bao,3 sao,3 năm trước,N/A
1594,yen kim,5 sao,2 năm trước,N/A
1595,Binh Thai Nguyen,5 sao,3 năm trước,N/A
1596,Geo Stelar,5 sao,2 năm trước,N/A
1597,Ha Le,5 sao,3 năm trước,N/A
1598,Lê Hồ Phú,5 sao,2 năm trước,N/A
1599,Sơn Võ,5 sao,5 tháng trước,N/A
1600,Minh Han,4 sao,một năm trước,N/A
1601,Chien Ta Ngoc,3 sao,4 tháng trước,N/A
1602,劉鋒,5 sao,2 năm trước,N/A
1603,Đoàn Hùng,3 sao,3 năm trước,N/A
1604,trinh vi,5 sao,2 năm trước,N/A
1605,Suny,5 sao,một tháng trước,N/A
1606,Minh Trần,4 sao,3 năm trước,N/A
1607,Phát Huỳnh,5 sao,3 năm trước,N/A
1608,Kim Đan Nguyễn,4 sao,2 năm trước,N/A
1609,Khánh Lê,4 sao,3 năm trước,N/A
1610,No Sana No Life,4 sao,3 năm trước,N/A
1611,Hoàng Lâm,5 sao,2 năm trước,N/A
1612,Thơ Thành,5 sao,3 năm trước,N/A
1613,Tran Cuong,5 sao,một năm trước,N/A
1614,Thành Phạm,4 sao,3 năm trước,N/A
1615,Vĩnh Tuấn Lư,5 sao,4 năm trước,N/A
1616,Thanh Tú,3 sao,2 năm trước,N/A
1617,Kim Phan,4 sao,2 năm trước,N/A
1618,Hà Ninh Lê,1 sao,4 năm trước,N/A
1619,Phong Nguyen,5 sao,2 năm trước,N/A
1620,January,5 sao,5 tháng trước,N/A
1621,duc thanh,5 sao,8 tháng trước,N/A
1622,Nam Đỗ,4 sao,2 năm trước,N/A
1623,Khoa Do,5 sao,3 năm trước,N/A
1624,Chi Cuong Tang,5 sao,4 năm trước,N/A
1625,Tuyết Ngân Nguyễn,4 sao,3 năm trước,N/A
1626,Vân Nguyễn Thị Ái,5 sao,4 tháng trước,N/A
1627,NGỌC HÙNG TRẦN,4 sao,3 năm trước,N/A
1628,Trần Tuấn Anh,5 sao,một năm trước,N/A
1629,Hạnh Mỹ,4 sao,2 năm trước,N/A
1630,AN channel,5 sao,3 năm trước,N/A
1631,Trần Hữu Trí Dũng,4 sao,3 năm trước,N/A
1632,Anh Thư,1 sao,2 năm trước,N/A
1633,Trần Hiếu,5 sao,3 năm trước,N/A
1634,Quang Nhat,4 sao,3 năm trước,N/A
1635,Danhthanhthinh Danh,5 sao,2 năm trước,N/A
1636,DUY NGUYỄN,3 sao,3 năm trước,N/A
1637,fenyv V,5 sao,3 năm trước,N/A
1638,HUNG PHAT DUONG MANH,3 sao,một năm trước,N/A
1639,Bảo Vy Trần,4 sao,11 tháng trước,N/A
1640,Stephen (Thông),4 sao,2 năm trước,N/A
1641,vo danh,4 sao,2 năm trước,N/A
1642,Quê Nhà Ninh Hòa,4 sao,3 năm trước,N/A
1643,Ngọc Trường Thịnh Phạm,4 sao,2 năm trước,N/A
1644,Phước Lộc,5 sao,3 năm trước,N/A
1645,Anh Dao,5 sao,3 năm trước,N/A
1646,zack morpheus,5 sao,3 năm trước,N/A
1647,Tấn Đạt Land,5 sao,4 năm trước,N/A
1648,hoa hồng ngoại TPHCM,5 sao,2 năm trước,N/A
1649,Hồ Ngọc Hải Châu,5 sao,3 năm trước,N/A
1650,Như Huỳnh,5 sao,3 năm trước,N/A
1651,Toan Nguyen,4 sao,một năm trước,N/A
1652,Phạm Thị Hồng Nhật,5 sao,6 tháng trước,N/A
1653,Stephen Kelly,4 sao,3 năm trước,N/A
1654,Long Kaka,5 sao,2 năm trước,N/A
1655,Karry Nu,5 sao,một tháng trước,N/A
1656,Kim Hoàng,5 sao,3 năm trước,N/A
1657,Xuân Trường,5 sao,11 tháng trước,N/A
1658,Thuy Tran,3 sao,3 năm trước,N/A
1659,Phạm Gia Kiệt (Maiyume),5 sao,9 tháng trước,N/A
1660,Huy Nguyen Tran Tuan,4 sao,3 năm trước,N/A
1661,Thanh Hoàng Dương,5 sao,3 tháng trước,N/A
1662,Văn Tuấn Châu,3 sao,4 năm trước,N/A
1663,Sang Tran Ngoc,4 sao,3 năm trước,N/A
1664,Gia Thịnh Trương,5 sao,3 năm trước,N/A
1665,Cuong Đoan,5 sao,3 năm trước,N/A
1666,Quyên Trần,5 sao,3 năm trước,N/A
1667,Mai Nguyễn,5 sao,4 năm trước,N/A
1668,Tuấn Kiệt Tạ Huỳnh,5 sao,3 năm trước,N/A
1669,Ken Kelvin,5 sao,2 năm trước,N/A
1670,Dang Huu Trong,5 sao,3 năm trước,N/A
1671,hoa luc binh,5 sao,3 tháng trước,N/A
1672,Bachhong Truong,4 sao,11 tháng trước,N/A
1673,thúy Lài,5 sao,3 tháng trước,N/A
1674,Son Joker,5 sao,3 năm trước,N/A
1675,Ánh Ngọc Cao,5 sao,2 năm trước,N/A
1676,Minh Doan,5 sao,9 tháng trước,N/A
1677,Tai Bien,5 sao,10 tháng trước,N/A
1678,Quang Trí Trương,5 sao,2 năm trước,N/A
1679,Lý Phạm,4 sao,3 năm trước,N/A
1680,Hieu Nghia Tran,4 sao,3 năm trước,N/A
1681,Phong Trần,5 sao,2 năm trước,N/A
1682,Long Nhật,5 sao,3 năm trước,N/A
1683,phat nguyen,5 sao,3 năm trước,N/A
1684,Trịnh Lương Dũng,5 sao,một tháng trước,N/A
1685,Thy Thy,4 sao,một năm trước,N/A
1686,Ho Le Long,5 sao,3 năm trước,N/A
1687,Vũ Nguyễn Hoàng,5 sao,3 năm trước,N/A
1688,LE PHUONG LA,5 sao,2 năm trước,N/A
1689,van ty tran,5 sao,3 năm trước,N/A
1690,Trung Phạm,3 sao,4 năm trước,N/A
1691,Het Nguyen Van,3 sao,2 năm trước,N/A
1692,Nguyen PTL,5 sao,3 năm trước,N/A
1693,Thu Trang Land,5 sao,4 năm trước,N/A
1694,Tuấn Khanh,3 sao,2 tháng trước,N/A
1695,Huynh Sang,4 sao,3 năm trước,N/A
1696,Vũ Nguyễn,5 sao,3 năm trước,N/A
1697,trang Huynh,4 sao,3 năm trước,N/A
1698,휘동,5 sao,3 năm trước,N/A
1699,Phát Nguyễn,5 sao,3 năm trước,N/A
1700,thái nguyễn phương,4 sao,3 năm trước,N/A
1701,Ngọc Anh Phạm,5 sao,4 tuần trước,N/A
1702,Trường Giang Trịnh Trần,5 sao,một năm trước,N/A
1703,Nhựt Vương,4 sao,2 năm trước,N/A
1704,38 Ngọc Xuân,5 sao,3 năm trước,N/A
1705,Vuong Mai,5 sao,3 năm trước,N/A
1706,Nguyễn Lê Khánh Chi,2 sao,3 năm trước,N/A
1707,Hữu Trí Nguyễn,4 sao,3 năm trước,N/A
1708,Thùy Dương Nguyễn Hà,2 sao,3 năm trước,N/A
1709,Rikky Lê,5 sao,3 năm trước,N/A
1710,Hiếu Nguyễn,4 sao,3 năm trước,N/A
1711,Hao Chung,4 sao,2 năm trước,N/A
1712,Mộng Ngọc Lê,3 sao,3 năm trước,N/A
1713,an Ho,2 sao,một tháng trước,N/A
1714,Duc Quang Vo,5 sao,3 năm trước,N/A
1715,CKT Tv,5 sao,3 năm trước,N/A
1716,Bùi Nhật Khiêm,5 sao,3 năm trước,N/A
1717,Tú Bà Vlogs,5 sao,3 năm trước,N/A
1718,Bao Duy Huynh,5 sao,11 tháng trước,N/A
1719,Cuong Ninh Duc,5 sao,3 tháng trước,N/A
1720,Duong Dinh Thanh,5 sao,3 năm trước,N/A
1721,Chris Le,4 sao,6 tháng trước,N/A
1722,Hoang Ho,5 sao,3 năm trước,N/A
1723,Nam Trương Thành,5 sao,3 năm trước,N/A
1724,Lê Đức Hòa Bình,5 sao,3 năm trước,N/A
1725,Cuong Vu,5 sao,4 năm trước,N/A
1726,Batistuan Travel,5 sao,3 năm trước,N/A
1727,JunK0,5 sao,một năm trước,N/A
1728,Hip Tran,4 sao,4 năm trước,N/A
1729,Nguyễn Khánh Ngọc,5 sao,một năm trước,N/A
1730,THANH NGUYEN,5 sao,3 tháng trước,N/A
1731,Nam Nguyễn,3 sao,3 năm trước,N/A
1732,phat vo,5 sao,2 năm trước,N/A
1733,Bo Tran,5 sao,3 năm trước,N/A
1734,lau mandy,5 sao,3 năm trước,N/A
1735,Cao Cuong Nguyen,4 sao,2 năm trước,N/A
1736,Quân Trând,2 sao,2 năm trước,N/A
1737,Ha Huynh,4 sao,3 năm trước,N/A
1738,Kun Zen,4 sao,3 năm trước,N/A
1739,Thuc Nguyen,5 sao,một năm trước,N/A
1740,Linh La,5 sao,2 năm trước,N/A
1741,Trần Phố,5 sao,một năm trước,N/A
1742,Trung Nguyen,3 sao,một năm trước,N/A
1743,絢瀬絵里,5 sao,3 năm trước,N/A
1744,Dũng Vũ,4 sao,một năm trước,N/A
1745,anh tran,5 sao,4 ngày trước,N/A
1746,Trang Huynh,1 sao,một năm trước,N/A
1747,Việt vuong Nguyen,4 sao,một năm trước,N/A
1748,Cuong Tran,5 sao,3 năm trước,N/A
1749,Quang Truong,5 sao,4 năm trước,N/A
1750,Ngọc Phượng Hồ,5 sao,3 năm trước,N/A
1751,Long Dương,4 sao,3 năm trước,N/A
1752,Bằng Cò,5 sao,2 năm trước,N/A
1753,VLOG CAREM,5 sao,4 năm trước,N/A
1754,Thanh Ca Nguyen,5 sao,5 tháng trước,N/A
1755,林玉珊,4 sao,3 năm trước,N/A
1756,Huy Trương Hưng,5 sao,11 tháng trước,N/A
1757,Hung Bui,5 sao,3 năm trước,N/A
1758,Duy Phuong Nguyen,3 sao,3 năm trước,N/A
1759,Nguyễn Đức Thắng (ChowChow),5 sao,11 tháng trước,N/A
1760,Huynh Tran Anh Thu,2 sao,3 năm trước,N/A
1761,Huynh Tai,4 sao,một năm trước,N/A
1762,James Truong,5 sao,2 năm trước,N/A
1763,Tiến Thạnh Trần,5 sao,2 năm trước,N/A
1764,Hưng Lâm,3 sao,3 năm trước,N/A
1765,Phương Lê,5 sao,2 năm trước,N/A
1766,Phuc Nguyen,3 sao,3 năm trước,N/A
1767,Quang Thach,4 sao,3 năm trước,N/A
1768,Tấn Phát Phạm,5 sao,2 năm trước,N/A
1769,Phuoc Dai Ta,4 sao,3 năm trước,N/A
1770,Phuong Huynh,2 sao,3 năm trước,N/A
1771,Havi An,5 sao,một năm trước,N/A
1772,Oanh Nguyen Kieu,5 sao,3 năm trước,N/A
1773,Sang Ngo,5 sao,một năm trước,N/A
1774,Duc Thanh Bui,1 sao,một năm trước,N/A
1775,Ngọc Quân Lê,4 sao,một năm trước,N/A
1776,Phạm Hoàng Bách,5 sao,3 năm trước,N/A
1777,Minh Nhật Tô Huỳnh,4 sao,2 năm trước,N/A
1778,Đắc Hảo Nguyễn,5 sao,2 tháng trước,N/A
1779,Hoàng Quang Hiển,5 sao,3 năm trước,N/A
1780,Helena Kaltysheva,4 sao,2 năm trước,N/A
1781,Thi Thanh Thach,5 sao,8 tháng trước,N/A
1782,Trương Thành,4 sao,một năm trước,N/A
1783,Tạ Thị Quỳnh,4 sao,2 năm trước,N/A
1784,Jay Tse,5 sao,3 năm trước,N/A
1785,Huệ Tú Lý,5 sao,2 năm trước,N/A
1786,Tuấn Nguyễn Đình,5 sao,3 năm trước,N/A
1787,Máy pha Cà phê,5 sao,một năm trước,N/A
1788,Gia Huyến Trần,4 sao,3 năm trước,N/A
1789,Ed Nguyen,5 sao,3 năm trước,N/A
1790,Vu Ngoc Anh,4 sao,3 năm trước,N/A
1791,Hy NG,4 sao,3 năm trước,N/A
1792,việt trần,5 sao,4 năm trước,N/A
1793,LAN NGUYEN,5 sao,3 năm trước,N/A
1794,Quỳnh Nguyễn,2 sao,3 năm trước,N/A
1795,Phúc Nguyễn,5 sao,3 năm trước,N/A
1796,Lý Trang,5 sao,một năm trước,N/A
1797,Huỳnh Minh Khôi,5 sao,3 năm trước,N/A
1798,Trinh Trinh,4 sao,2 năm trước,N/A
1799,Minh Tuấn Lạc,5 sao,2 tháng trước,N/A
1800,Chanh Duc Nguyen Nhut,5 sao,3 năm trước,N/A
1801,Aaron Phan,5 sao,4 năm trước,N/A
1802,Sang Phạm,5 sao,3 năm trước,N/A
1803,dang vinh,5 sao,3 năm trước,N/A
1804,Đức Nhân Vũ,4 sao,11 tháng trước,N/A
1805,Mon Kate,3 sao,2 năm trước,N/A
1806,Skevin Ghos,4 sao,3 năm trước,N/A
1807,Nguyen Thong,4 sao,2 năm trước,N/A
1808,Chí Lương,4 sao,3 năm trước,N/A
1809,Tuấn anh Nguyễn,5 sao,8 tháng trước,N/A
1810,Thế Nguyên Dương,4 sao,4 năm trước,N/A
1811,Trong Huan Nguyen,5 sao,3 năm trước,N/A
1812,Su Letan,5 sao,4 năm trước,N/A
1813,chau chi,5 sao,3 năm trước,N/A
1814,Dũng Phạm Hoàng,3 sao,3 năm trước,N/A
1815,Hoàng Trí Nguyễn Phạm,5 sao,2 năm trước,N/A
1816,Nguyen123 Envil,5 sao,3 năm trước,N/A
1817,Ngọc Kim,2 sao,3 năm trước,N/A
1818,Nguyễn Minh Thành,5 sao,10 tháng trước,N/A
1819,PHẠM QUYẾT TIẾN,4 sao,3 năm trước,N/A
1820,Văn Lợi Đinh,5 sao,3 tuần trước,"Quán không gian cũng khá ổn, kiểu hơi tam giác, nhưng cx cao, thoáng
Đặc biệt chắc là view nhìn ra đường, công viên khá hay …"
1821,Cương Trịnh,4 sao,3 tháng trước,"Không gian 2 lầu tương đối rộng, chỗ để xe thì tạm không quá nhiều. Nước với bánh ở chi nhánh này ổn nha, nhân viên thì bình thường không vui không quạo. Được chú bảo vệ dễ thương."
1822,Kelsi Bích Trân (Dân Bích Chương),5 sao,một tháng trước,ok nè. trà tuyết xoài đào đang mua 1 tặng 1 (mua L tặng M). 2 ly có 69k quá ổn
1823,Cao Minh Trung,4 sao,4 tháng trước,"Không gian thoáng mát , thiết kế đơn giản đẹp , mát lạnh mát , phục vụ nhiệt tình"
1824,Nam Ngô,1 sao,2 tháng trước,Ông bảo vệ rảnh quá có 1 xe máy mà ông dắt ra vô tới lui chục bận. Vãi. Khách họ quý cái xe họ hơn cái quán cf mà làm vậy. Sao họ còn quay lại ???
1825,Tuyết Minh Nguyễn Thị,5 sao,6 tháng trước,"Quán sạch, nhân viên lịch sự. Không gian rộng rãi, nước uống cũng nhanh có nữa."
1826,Kiet Tran,5 sao,một tuần trước,"Chú bảo vệ vui vẻ và nhiệt tình. Trời mưa mũ mình treo ngang chú giúp úp lại cho đỡ ướt, lúc về còn lau yên và kính chiếu hậu. …"
1827,Jack Nguyen,5 sao,11 tháng trước,"Món ăn uống ngon, giá cả khi có ctkm rất là hợp lý, view đẹp, thoáng, nhiều chỗ ngồi, đối diện phía công viên còn có thể đậu ô tô!"
1828,Minh Từ,5 sao,5 tháng trước,Đi cafe 1 mình cho khuây khỏa ngày cuối tuần. Món trong ảnh là trà dưa hấu vải mới ra nhé mọi người - thấy mùi vị cũng được ko ngọt quá.
1829,Michael Long,5 sao,9 tháng trước,"thái độ phục vụ của nhân viên ở đây xứng đáng 5 sao
tôi uống được 3 lần ở đây , 2 lần trước nhân viêm rất vui vẻ , đón tiếp , phục vụ rất thiện cảm ... còn lần này buộc tôi phải viết đánh giá , vì tôi ghé trong 1 …"
1830,Bui jessica,5 sao,3 tuần trước,"Làm nước nhanh , không fai đợi lâu . Chất lượng nước ok.  Nhưng món chưa đa dạng lắm."
1831,Nguyen Nguyen,5 sao,một tháng trước,"Highlands Coffee luôn tuyệt mình thích vị đậm của cf sữa và có thêm bánh mì ,rất tâm lý. Rất thích Highlands Coffee"
1832,Andy Đinh,2 sao,5 tháng trước,Không gian hơi chật. Nhân viên thì không thân thiện lắm. Khách chỉ mang 1 hộp xôi nhỏ vào cũng lại nhắc nhở không được ăn trong quán. Mặc dù bánh mì tại HL mình hơi ngán. Nói chung không muốn quay lại
1833,Bạch Thanh Toàn,1 sao,5 tháng trước,"Hôm nay 18.03.2023 mình và bạn có đến để uống cf. Sau khi uống xong là 20h03 mình ra về và không tìm được thẻ xe. Mình có báo cho nhân viên và bảo vệ. Tuy nhiên, bảo vệ rất khó chịu và mắng cả mình và nhân viên. Bảo vệ còn nói: ""Mày gọi giám đốc xuống đây tao cũng không sợ"". Nên mình sợ chú thật..."
1834,Dieu Anh Ta,5 sao,5 tháng trước,Nước ngon. Nhân viên dễ thương
1835,Thuận Châu,1 sao,2 tuần trước,Nhân viên thái độ qua tệ . Thiếu chuyên nghiệp .
1836,Xuân Mai Mai,5 sao,6 tháng trước,"Dịch vụ tốt, nhạc ko quá ồn, nhân viên lịch sự và nhẹ nhàng, luôn dọn bàn sạch sẽ ngay sau khi khách trước rời khỏi."
1837,Jasmine Du,5 sao,một tháng trước,"Gần nhà nên hay ghé uống, ko có nhiều món mới"
1838,T-Style Poem,5 sao,2 năm trước,"Vào quán dịp Tết. Rất đông khách nhưng nhân viên vẫn giữ thái độ chuyên nghiệp. Có nc rửa tay, kê bàn để giữ khoảng cách khi đang mùa dịch hiện tại. Nuớc uống và bánh rất hợp khẩu vị. Giá cả hợp lý với một không gian tuyệt vời để gặp bạn bè"
1839,Phạm Linh,1 sao,3 tháng trước,Nhân viên thái độ . Đưa mã giảm giá ra là mặt một bạn nhân viên nữ thái độ.
1840,Hai Anh Lam,5 sao,một năm trước,"Cà phê ngon không có mùi khét, các bạn nhân viên rất thân thiện"
1841,Trần Thảo (Chilly),4 sao,2 năm trước,"Rộng rãi, thoáng mát 👍🏻👍🏻👍🏻
Nhân viên nhiệt tình ☺️☺️☺️
@t4_eattheworld …"
1842,Chí Nguyễn,5 sao,một năm trước,Tốc độ pha chế nước ở đây rất nhanh . Vừa tìm được chổ ngồi là thẻ order đã rung ngay
1843,Thanh Dat Nguyen,4 sao,5 tháng trước,"Mọi thứ đều tốt nma quán hơi đông, chỗ ngồi ít"
1844,Thuý Thanh,1 sao,7 tháng trước,"Nhân viên qá tệ thái độ rất nhìu
Mình ngôi uông cf nhân viên chửi shipper coi thường mà mình lại hay đặt app nữa
Giờ đến quán uống mới biết"
1845,Quang Minh Bùi,4 sao,5 tháng trước,Nhân viên nói chuyện thiếu tôn trọng khách ... cần chăm sóc lại nhân viên
1846,HUỲNH THANH TÚ (TÚ 3D),5 sao,một năm trước,Tôi uống đây mỗi ngày ...mát và rộng hơn mấy chổ khác
1847,Nguyên Thân Trọng,4 sao,2 tháng trước,"Thức uống ngon, giá phải chăng"
1848,Linh Chau,4 sao,8 tháng trước,"Quán nhỏ xíu,  bàn ghế xếp lộn xộn"
1849,Nguyen Danh Hoang,4 sao,8 tháng trước,Tranh thủ mua 1 tặng 1 nha 500 ae😉 …
1850,Leo Nguyen,5 sao,một năm trước,"Quán sạch sẽ, ngon lành. Không gian của highland lúc nào cũng có view nhìn tốt và thoáng đãng. Là một nơi thích hợp để tới làm việc. Các dãy bàn bố trí hơi chật một chút nhưng vẫn di chuyển được."
1851,khanh nguyen,4 sao,11 tháng trước,"Nhân viên dễ thương, nhưng bị cái là lúc nào cũng đông người, nên ngồi làm việc sẽ thiếu sự riêng tư, và ở đây cũng nhỏ. Về nước thì chỗ nào cũng giống nhau mà."
1852,Khánh Linh,5 sao,8 tháng trước,"Cửa hàng view đẹp, bên trong sạch sẽ gọn gàng. Nhân viên và đồ uốn 5 sao nhé"
1853,Thuy Ms,3 sao,một năm trước,"Tầm độ 19h40 ngày 5/2/2022 tôi có đặt 2 ly nước là 1 chanh đá xay và chanh dây đá viên size S qua ứng dụng Gojek, thì bình thường tôi đều uống 2 món này quen rồi nên vị như thế nào tôi cũng quen🙂… nhưng hôm nay tôi rất không hài lòng về món …"
1854,Vi Nguyễn,5 sao,9 tháng trước,"quán đông, không có nước lọc tại quán, wc sạch, chỗ giữ xe rộng rãi"
1855,Lê Huy (Haizz hướng nội cởi mở),4 sao,8 tháng trước,"Không gian bên trong thoải mái.
Vị trí cửa hàng ngay ngã 4, tiện di chuyển."
1856,C N,1 sao,một năm trước,Nhân viên tính tiền (nữ) thái độ với khách mặc dù quán không đông lúc 18:52 ngày 30/6/2022
1857,Thục Ni (Niiiii),4 sao,một năm trước,"Đông khách, tầng trên cũng k yên tĩnh lắm. Thấy các bạn học sinh là nhiêu. Tầng dưới yên tĩnh hơn nhưng mà do vì đông, ra vô nhiều nên thành ra cũng ồn ào.
Nhân viên ok, chỉ là do bận quá nên là thái độ vui vẻ cũng mất luôn. Bác bảo vệ nắng nóng ở ngoài mà thấy tội."
1858,Chan Cuong Duong,5 sao,một năm trước,"Buổi chiều ngồi trên lầu nhìn xuống công viên Hòa Bình, thấy bình yên lạ.

Góc bên kia lại ngang với tán me xanh khá là mát mắt và chill"
1859,Trí Khánh Nguyễn,5 sao,một năm trước,"Mát mẻ, nằm ngay góc ngã tư nên rộng rãi, lên lầu nhìn cũng chill lắm
Nhân viên vui vẻ, Bảo vệ dắt xe hướng dẫn nhiệt tình"
1860,Đăng Nguyễn,5 sao,5 ngày trước,Không gian thoải mái
1861,vietanh do,3 sao,một năm trước,Các bạn nhân viẻn rất dễ thương. Nhưng cần cải thiện hơn nên cho ít trà đá tự phục vụ thì tuyệt vời.
1862,Minh Chánh,3 sao,một tháng trước,Quán hơi nhỏ
1863,Thanh Lê,1 sao,8 tháng trước,Quản lý nam thái độ với khách rất tệ (ngày 3/12)
1864,khanh Nguyen,4 sao,11 tháng trước,Vi trí đẹp
1865,Dang Binh Nguyen Khoi,5 sao,2 năm trước,chỗ này ok :)
1866,Duyen Nguyen,2 sao,một năm trước,"Chật chọi, bàn để rất gần, uống cafe mà k được thoải mái, k riêng tư...."
1867,Iris Ngo,1 sao,một năm trước,Phục vụ tệ. Tôi không uống được sữa nên không biết là các món ở đây đa phần là sữa. Và đây không phải là chỗ có thể học bài
1868,Công Ty TNHH TM ITN (Linhkienmang.net),4 sao,10 tháng trước,"Thức uống ngon, ngồi làm việc cả ngày cũng ok"
1869,Ashiya Châu,3 sao,8 tháng trước,"Cửa hàng nhỏ,  bàn ghế sắp xếp không gọn gàng"
1870,Minh Quách,5 sao,một năm trước,"Các bạn nhân viên khá nhiệt tình, niềm nở với khách hàng kể cả shipper"
1871,Cẩm Quỳnh,5 sao,8 tháng trước,Ngon
1872,Tuyền Trương Thanh,4 sao,8 tháng trước,Mọi thứ ổn
1873,Khang Nguyễn,1 sao,một năm trước,nhân viên nữ thu ngân cọc cằn thái độ với khách
1874,Ryu Min,4 sao,2 năm trước,"Nhân viên vui vẻ nhiệt tình , quán khá đông nên dễ hết bàn"
1875,Yen Nhi Hoang,1 sao,một năm trước,Nhân viên tính tiền rất thái độ với khách.
1876,Vsneaker,4 sao,11 tháng trước,"Địa điểm dễ tìm, không gian đẹp. Tiện lợi"
1877,Jupi ter,5 sao,một năm trước,Thích hợp cho việc càfe trò chuyện bạn bè cuối ngày làm việc!
1878,MinhAnh Nguyễn,1 sao,một năm trước,nữ nhân viên tính tiền phục vụ tệ
1879,Phạm Huy Chương,5 sao,5 tháng trước,Toẹt nên uống
1880,Đức Anh,3 sao,6 tháng trước,"Có đồ uống và bánh
Giá hơi cao"
